name,slug,brand,category,short_description,long_description,statusName,image_url,product_url,sku,price_sale,price_original,color,size,stock_quantity
Áo Thun Waffle Co Giãn Seventy Seven 041 Đen,ao-thun-waffle-co-gian-seventy-seven-041-en,Seventy Seven,Áo thun,Áo Thun Waffle Co Giãn Seventy Seven 041 Đen,,New,https://yame.vn/cdn/shop/files/ao-thun-seventy-seven-41-den-1174881279.jpg?v=1760778907&width=533,https://yame.vn/products/ao-thun-waffle-co-gian-seventy-seven-41-den-0023549,ao-thun-waffle-co-gian-seventy-seven-41-den-0023549,168150.0,177000.0,Đen,,0
Áo Sơ Mi Modal Mềm Mịn Ít Nhăn Non Branded 033 Đen,ao-so-mi-modal-mem-min-it-nhan-non-branded-033-en,Non Branded,Áo sơ mi,Áo Sơ Mi Modal Mềm Mịn Ít Nhăn Non Branded 033 Đen,,New,https://yame.vn/cdn/shop/files/ao-s-mi-non-branded-33-den-1174884163.jpg?v=1760775428&width=533,https://yame.vn/products/ao-so-mi-modal-mem-min-it-nhan-non-branded-33-den-0024143,ao-so-mi-modal-mem-min-it-nhan-non-branded-33-den-0024143,187150.0,197000.0,Đen,,0
Áo Khoác Cardigan Vải Waffle Thoáng Khí Seventy Seven 038 Xanh Dương Đậm,ao-khoac-cardigan-vai-waffle-thoang-khi-seventy-seven-038-xanh-duong-am,Seventy Seven,Áo khoác,Áo Khoác Cardigan Vải Waffle Thoáng Khí Seventy Seven 038 Xanh Dương Đậm,,New,https://yame.vn/cdn/shop/files/0023185_thumb_1.jpg?v=1760798612&width=533,https://yame.vn/products/ao-khoac-cardigan-vai-waffle-thoang-khi-seventy-seven-38-xanh-den-0023185,ao-khoac-cardigan-vai-waffle-thoang-khi-seventy-seven-38-xanh-den-0023185,243950.0,287000.0,Xanh Dương Đậm,,0
Quần Short 5 Inch Dù Mỏng Nhẹ Non Branded 006 Xanh Lá Đậm,quan-short-5-inch-du-mong-nhe-non-branded-006-xanh-la-am,Non Branded,Quần short,Quần Short 5 Inch Dù Mỏng Nhẹ Non Branded 006 Xanh Lá Đậm,,New,https://yame.vn/cdn/shop/files/qu-n-short-non-branded-06-xanh-reu-1174882395.jpg?v=1760784777&width=533,https://yame.vn/products/quan-short-5-inch-du-mong-nhe-non-branded-06-xanh-reu-0023741,quan-short-5-inch-du-mong-nhe-non-branded-06-xanh-reu-0023741,158650.0,167000.0,Xanh Lá Đậm,,0
Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Hồng,quan-short-thun-9-inch-thoang-mat-non-branded-005-hong,Non Branded,Quần short,Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Hồng,,New,https://yame.vn/cdn/shop/files/qu-n-short-non-branded-05-h-ng-1174882155.jpg?v=1760784538&width=533,https://yame.vn/products/quan-short-thun-9-inch-thoang-mat-non-branded-05-hong-0023726,quan-short-thun-9-inch-thoang-mat-non-branded-05-hong-0023726,158650.0,167000.0,Hồng,,0
Áo Thun 3 Lỗ Waffle Non Branded 002 Xám Nhạt,ao-thun-3-lo-waffle-non-branded-002-xam-nhat,Non Branded,Áo thun 3 lỗ,Áo Thun 3 Lỗ Waffle Non Branded 002 Xám Nhạt,,New,https://yame.vn/cdn/shop/files/23718_thumb_1.jpg?v=1760776080&width=533,https://yame.vn/products/ao-thun-3-lo-waffle-non-branded-02-xam-trang-0023718,ao-thun-3-lo-waffle-non-branded-02-xam-trang-0023718,111150.0,117000.0,Xám Nhạt,,0
Quần Short Nam Thun Waffle 7 Inch Thoáng Khí Seventy Seven 030 Đen,quan-short-nam-thun-waffle-7-inch-thoang-khi-seventy-seven-030-en,Seventy Seven,Quần short,Quần Short Nam Thun Waffle 7 Inch Thoáng Khí Seventy Seven 030 Đen,,New,https://yame.vn/cdn/shop/files/0023283thumb1.jpg?v=1760796823&width=533,https://yame.vn/products/quan-short-nam-thun-waffle-7-inch-thoang-khi-seventy-seven-30-den-0023283,quan-short-nam-thun-waffle-7-inch-thoang-khi-seventy-seven-30-den-0023283,192950.0,227000.0,Đen,,0
Áo Khoác Kaki Chống Nắng Seventy Seven 007 Đen,ao-khoac-kaki-chong-nang-seventy-seven-007-en,Seventy Seven,Áo khoác,Áo Khoác Kaki Chống Nắng Seventy Seven 007 Đen,,New,https://yame.vn/cdn/shop/files/ao-khoac-seventy-seven-07-den-1174885167.jpg?v=1760779251&width=533,https://yame.vn/products/ao-khoac-kaki-chong-nang-seventy-seven-07-den-0023201,ao-khoac-kaki-chong-nang-seventy-seven-07-den-0023201,339150.0,357000.0,Đen,,0
Quần Short 5 Inch Dù Mỏng Nhẹ Non Branded 006 Cam Đậm,quan-short-5-inch-du-mong-nhe-non-branded-006-cam-am,Non Branded,Quần short,Quần Short 5 Inch Dù Mỏng Nhẹ Non Branded 006 Cam Đậm,,New,https://yame.vn/cdn/shop/files/qu-n-short-non-branded-06-cam-1174882377.jpg?v=1760784858&width=533,https://yame.vn/products/quan-short-5-inch-du-mong-nhe-non-branded-06-cam-0023734,quan-short-5-inch-du-mong-nhe-non-branded-06-cam-0023734,158650.0,167000.0,Cam Đậm,,0
Áo Sơ Mi Tay Dài Modal Ít Nhăn Non Branded 019 Đen,ao-so-mi-tay-dai-modal-it-nhan-non-branded-019-en,Non Branded,Áo sơ mi,Áo Sơ Mi Tay Dài Modal Ít Nhăn Non Branded 019 Đen,,New,https://yame.vn/cdn/shop/files/ao-s-mi-non-branded-19-den-1174884397.jpg?v=1760774915&width=533,https://yame.vn/products/ao-so-mi-tay-dai-modal-it-nhan-non-branded-19-den-0024013,ao-so-mi-tay-dai-modal-it-nhan-non-branded-19-den-0024013,187150.0,197000.0,Đen,,0
Áo Sơ Mi Tay Dài Modal Ít Nhăn Non Branded 019 Xanh Dương Nhạt,ao-so-mi-tay-dai-modal-it-nhan-non-branded-019-xanh-duong-nhat,Non Branded,Áo sơ mi,Áo Sơ Mi Tay Dài Modal Ít Nhăn Non Branded 019 Xanh Dương Nhạt,,New,https://yame.vn/cdn/shop/files/ao-s-mi-non-branded-19-xanh-d-ng-1174884367.jpg?v=1760774899&width=533,https://yame.vn/products/ao-so-mi-tay-dai-modal-it-nhan-non-branded-19-xanh-duong-0024016,ao-so-mi-tay-dai-modal-it-nhan-non-branded-19-xanh-duong-0024016,187150.0,197000.0,Xanh Dương Nhạt,,0
Áo Polo Pique Thoáng Mát Non Branded 003 Nâu,ao-polo-pique-thoang-mat-non-branded-003-nau,Non Branded,Áo polo,Áo Polo Pique Thoáng Mát Non Branded 003 Nâu,,New,https://yame.vn/cdn/shop/files/ao-polo-non-branded-03-nau-1174885456.jpg?v=1760774309&width=533,https://yame.vn/products/ao-polo-pique-thoang-mat-non-branded-03-nau-0023747,ao-polo-pique-thoang-mat-non-branded-03-nau-0023747,168150.0,177000.0,Nâu,,0
Quần Short 5 Inch Dù Mỏng Nhẹ Non Branded 006 Đỏ,quan-short-5-inch-du-mong-nhe-non-branded-006-o,Non Branded,Quần short,Quần Short 5 Inch Dù Mỏng Nhẹ Non Branded 006 Đỏ,,New,https://yame.vn/cdn/shop/files/qu-n-short-non-branded-06-d-1174882305.jpg?v=1760785120&width=533,https://yame.vn/products/quan-short-5-inch-du-mong-nhe-non-branded-06-do-0023736,quan-short-5-inch-du-mong-nhe-non-branded-06-do-0023736,158650.0,167000.0,Đỏ,,0
Áo Sơ Mi Tay Ngắn Vải Nhung Corduroy Retro Ít Nhăn Seventy Seven 022 Nâu Nhạt,ao-so-mi-tay-ngan-vai-nhung-corduroy-retro-it-nhan-seventy-seven-022-nau-nhat,Seventy Seven,Áo sơ mi,Áo Sơ Mi Tay Ngắn Vải Nhung Corduroy Retro Ít Nhăn Seventy Seven 022 Nâu Nhạt,,New,https://yame.vn/cdn/shop/files/ao-s-mi-seventy-seven-22-be-1174882837.jpg?v=1760786722&width=533,https://yame.vn/products/ao-so-mi-tay-ngan-vai-nhung-corduroy-retro-it-nhan-seventy-seven-22-be-0023258,ao-so-mi-tay-ngan-vai-nhung-corduroy-retro-it-nhan-seventy-seven-22-be-0023258,244150.0,257000.0,Nâu Nhạt,,0
Quần Short Cargo 7 Inch Dù Trượt Nước Seventy Seven 031 Đen,quan-short-cargo-7-inch-du-truot-nuoc-seventy-seven-031-en,Seventy Seven,Quần short cargo,Quần Short Cargo 7 Inch Dù Trượt Nước Seventy Seven 031 Đen,,New,https://yame.vn/cdn/shop/files/qu-n-short-seventy-seven-31-den-1174881881.jpg?v=1760786106&width=533,https://yame.vn/products/quan-short-cargo-7-inch-du-truot-nuoc-seventy-seven-31-den-0023290,quan-short-cargo-7-inch-du-truot-nuoc-seventy-seven-31-den-0023290,215650.0,227000.0,Đen,,0
Áo Thun 3 Lỗ Waffle Non Branded 002 Xanh Dương Đậm,ao-thun-3-lo-waffle-non-branded-002-xanh-duong-am,Non Branded,Áo thun 3 lỗ,Áo Thun 3 Lỗ Waffle Non Branded 002 Xanh Dương Đậm,,New,https://yame.vn/cdn/shop/files/23719_thumb_1.jpg?v=1760775979&width=533,https://yame.vn/products/ao-thun-3-lo-waffle-non-branded-02-xanh-den-0023719,ao-thun-3-lo-waffle-non-branded-02-xanh-den-0023719,111150.0,117000.0,Xanh Dương Đậm,,0
Áo Sơ Mi Cổ Trụ Linen Thoáng mát Seventy Seven 024 Trắng,ao-so-mi-co-tru-linen-thoang-mat-seventy-seven-024-trang,Seventy Seven,Áo sơ mi,Áo Sơ Mi Cổ Trụ Linen Thoáng mát Seventy Seven 024 Trắng,,New,https://yame.vn/cdn/shop/files/ao-s-mi-seventy-seven-24-tr-ng-1174883160.jpg?v=1760775689&width=533,https://yame.vn/products/ao-so-mi-co-tru-linen-thoang-mat-seventy-seven-24-trang-0023265,ao-so-mi-co-tru-linen-thoang-mat-seventy-seven-24-trang-0023265,231300.0,257000.0,Trắng,,0
Áo Thun Waffle Thoáng Mát Non Branded 001 Xanh Dương,ao-thun-waffle-thoang-mat-non-branded-001-xanh-duong,Non Branded,Áo thun,Áo Thun Waffle Thoáng Mát Non Branded 001 Xanh Dương,,New,https://yame.vn/cdn/shop/files/ao-thun-non-branded-01-xanh-d-ng-1174882464.jpg?v=1760778000&width=533,https://yame.vn/products/ao-thun-waffle-thoang-mat-non-branded-001-xanh-duong-0023712,ao-thun-waffle-thoang-mat-non-branded-001-xanh-duong-0023712,120650.0,127000.0,Xanh Dương,,0
Áo Polo Pique Thoáng Khí Seventy Seven 017 Trắng,ao-polo-pique-thoang-khi-seventy-seven-017-trang,Seventy Seven,Áo polo,Áo Polo Pique Thoáng Khí Seventy Seven 017 Trắng,,New,https://yame.vn/cdn/shop/files/ao-polo-seventy-seven-17-tr-ng-1174885483.jpg?v=1760774200&width=533,https://yame.vn/products/ao-polo-pique-thoang-khi-seventy-seven-17-trang-0023237,ao-polo-pique-thoang-khi-seventy-seven-17-trang-0023237,215650.0,227000.0,Trắng,,0
